,importance
volatility_lag5,0.10496929494723509
macd_hist,0.10481051773355514
sma_200,0.08769462570928482
macd_signal,0.0827862477151668
sma_50,0.0701173743709079
sma_20,0.06611202046479392
momentum,0.058527479605069266
volatility,0.05297969623867933
macd,0.0465185679848813
bb_width,0.04611896514011183
bb_upper,0.039716580238604506
bb_lower,0.039029243120628034
rsi,0.03892100775855457
rsi_lag3,0.026159275417203594
returns_lag1,0.018815826616828575
returns_lag2,0.015731906971273385
returns_lag5,0.015239294034826711
revenue_growth,0.014584593049377995
returns,0.01439697499449879
returns_lag3,0.013371931824071301
